date,ticker,open,high,low,close,volume
2025-06-20,META,699.10807093925,700.1755711266569,677.0797895921414,680.7511596679688,22538600
2025-06-23,META,682.0881149489193,697.4121118139869,677.1596869463602,696.8933715820312,11080100
2025-06-24,META,703.2385013793354,711.5190428194142,700.4649855174316,710.5313720703125,13823200
2025-06-25,META,711.6486741856498,714.9010456370576,703.7272754411318,707.01953125,9320400
2025-06-26,META,712.686175943774,726.5136861086672,709.3839340058294,724.3887329101562,13964800
2025-06-27,META,724.8178059334097,733.7069032905775,724.1593181930845,731.9111328125,18775700
2025-06-30,META,742.8054817668852,746.1476691378697,732.5296271967599,736.3606567382812,15402100
2025-07-01,META,735.1534455733583,736.0214022335938,713.693835204326,717.5347900390625,13431200
2025-07-02,META,713.6539572494278,718.6122830220947,711.1298559583659,711.8980712890625,9336700
2025-07-03,META,724.9074856770499,727.3218592846127,712.7460452917771,717.3253173828125,8601700
2025-07-07,META,715.918688350601,725.2966891559722,711.8383050380374,716.6669311523438,9457100
2025-07-08,META,719.8793609595846,721.2161872254258,713.1351899702655,718.9814453125,7770700
2025-07-09,META,721.0266226856489,735.8019810021477,721.0266226856489,731.0631103515625,11418000
2025-07-10,META,729.8359096434607,734.0759515650559,717.9138972384281,725.5360107421875,9913600
2025-07-11,META,720.8071559255932,723.4608966552098,708.0371589748221,715.828857421875,10873900
2025-07-14,META,715.9186065632238,726.2942632522581,714.8710789388857,719.2308349609375,8939400
2025-07-15,META,722.2039420372861,722.7725529543028,708.1569141283312,708.7255859375,11529500
2025-07-16,META,711.6985138171127,712.2970836136572,697.6315755690009,701.2630004882812,13067600
2025-07-17,META,702.7395996705828,704.2460714207873,695.4766277838654,699.7665405273438,11803300
2025-07-18,META,700.5447529444856,703.0588680042227,690.0294703606638,702.6298828125,12779800
2025-07-21,META,705.1439122135475,715.3200251684316,704.1063709182977,711.2994384765625,9404400
2025-07-22,META,714.5119099243975,714.9209224678821,699.7665114607927,703.1585693359375,8921100
2025-07-23,META,704.7148919274861,712.9555475747247,703.278263571404,711.9080200195312,8771600
2025-07-24,META,715.3699112663372,721.9245248031309,712.3270697155897,713.1251831054688,10920800
2025-07-25,META,715.2401874661052,718.9614892126135,710.2319910963464,711.0101318359375,8271700
2025-07-28,META,713.5243091595448,723.0419351595109,711.0101939967738,715.9486083984375,8715700
2025-07-29,META,718.3130022321428,722.7724995594365,698.270047363426,698.35986328125,13267000
2025-07-30,META,706.4309422136296,706.8399547738821,689.5805015781577,693.5811157226562,27077300
2025-07-31,META,773.3836936232736,782.9113054874113,763.7163951695271,771.6278076171875,38831100
2025-08-01,META,758.9476005405788,764.2052724882252,743.5637464392476,748.2527465820312,19028700
2025-08-04,META,758.2193240496142,775.029820232538,756.6330226185955,774.5509643554688,15801700
2025-08-05,META,774.6307577641016,781.2950989411861,761.212259491104,761.6712036132812,11640300
2025-08-06,META,768.1958248249329,771.8273106109475,758.678199773599,770.18115234375,9733900
2025-08-07,META,771.6776976898961,773.1841694919084,757.7703567732848,760.0450439453125,9019700
2025-08-08,META,760.9628565603988,768.0961282780016,756.8026440305783,767.4974975585938,7320800
2025-08-11,META,768.2757194135389,771.6478049440495,762.8783609453131,764.0755615234375,7612000
2025-08-12,META,771.1888187456735,791.8103707559926,770.6201469797736,788.1489868164062,14563100
2025-08-13,META,789.2963900548351,793.5962894533881,776.4066172801486,778.2523193359375,8811800
2025-08-14,META,776.0573823379099,785.9641084064921,770.6999694623344,780.2974243164062,8116200
2025-08-15,META,782.3127720209482,794.3843975355859,778.9905571139482,783.3901977539062,13375400
2025-08-18,META,773.2739649293972,773.9922487170201,754.7873521125813,765.572021484375,16513700
2025-08-19,META,765.3226701689615,765.3725408429555,747.6042712449723,749.7192993164062,12286700
2025-08-20,META,745.8184055724877,748.4422481947564,729.2872227778392,745.968017578125,11898200
2025-08-21,META,742.965126847803,743.7532539146816,731.392269728463,737.3682250976562,8876300
2025-08-22,META,737.4979443181139,755.1265868650723,732.6693186706706,753.021484375,10612700
2025-08-25,META,753.0514312038815,757.1019160115399,748.3724176422635,751.5349731445312,6861200
2025-08-26,META,749.0408739151204,753.1013452690629,746.187589469264,752.3331298828125,7601800
2025-08-27,META,750.5373617239242,752.3830637406979,741.0995653139147,745.62890625,8315400
2025-08-28,META,742.2568318080029,751.2856157691724,739.0643171271723,749.3501586914062,7468000
2025-08-29,META,743.5338383928589,745.3894657992533,733.6270507950396,736.96923828125,9070500
2025-09-02,META,724.3388175548104,734.2755025264773,720.0389186102121,733.3875732421875,9350900
2025-09-03,META,734.2755314397929,738.5155735710689,732.2702311831985,735.3230590820312,7699300
2025-09-04,META,746.8161054490425,759.3765729399474,744.0725487076684,746.8959350585938,11439100
2025-09-05,META,750.8565963566639,756.1741251448537,743.2844139282448,750.68701171875,9663400
2025-09-08,META,754.2286352813065,764.71401930554,750.2579802053917,750.5372924804688,13087800
2025-09-09,META,755.7150988981595,764.5044535591039,751.664614408497,763.9058837890625,10999000
2025-09-10,META,763.3372922969834,763.9059640843684,749.2403942554,750.2180786132812,12478300
2025-09-11,META,752.8818998869256,755.3261108896929,746.6165845282627,749.1406860351562,7923300
2025-09-12,META,746.9756681630587,755.7949823874058,742.0173423532742,753.8196411132812,8248600
2025-09-15,META,755.6951631721865,772.2563046936084,750.2280226983954,762.9082641601562,10533800
2025-09-16,META,765.2028605665566,779.5291993784334,763.3072880544486,777.1747436523438,11782500
2025-09-17,META,778.16248073438,781.4547366857648,764.5145401578408,773.9024658203125,9400900
2025-09-18,META,778.9207035004806,786.9319184464317,771.5480036492609,778.421875,10955000
2025-09-19,META,784.5773532506886,788.9470955167301,767.3877436699294,776.5562133789062,23696800
2025-09-22,META,780.5445827585347,784.4181095052566,763.1935958899483,763.8824462890625,11706900
2025-09-23,META,767.9656453445465,769.3133669851754,749.8160063356215,754.1387939453125,10872600
2025-09-24,META,756.2352564498105,759.8392144671293,751.2735837511626,759.3899536132812,8828200
2025-09-25,META,752.1920046258563,755.5064686568031,743.3068402529434,747.6595458984375,10591100
2025-09-26,META,748.7477432379202,750.6745134518627,736.1188402620083,742.5081787109375,9696300
2025-09-29,META,747.4698773667765,749.5264964028529,737.9159094495395,742.1588134765625,9246800
2025-09-30,META,741.0106631587118,741.729431724798,725.0872827303901,733.15380859375,16226800
2025-10-01,META,720.2853684573676,720.6447527663656,709.0142405229949,716.142333984375,20419600
2025-10-02,META,721.3735522103992,726.5548890984803,716.9409630753169,725.8360595703125,11415300
2025-10-03,META,728.4117628788885,729.7794705550638,708.9942257916973,709.3735961914062,16154300
2025-10-06,META,704.0125981338592,715.6830826309072,689.3571155710283,714.465087890625,21654700
2025-10-07,META,716.5216106896504,717.3003375901077,704.5716259627259,711.889404296875,12062900
2025-10-08,META,712.2587946669486,718.4484549738279,706.6281969142439,716.6414794921875,10790600
2025-10-09,META,717.0807271377935,732.2852783203125,711.2504512938121,732.2852783203125,12717200
2025-10-10,META,729.6995938834806,734.0423674154782,703.333716456913,704.1223754882812,16980100
